consumer_name;city;region;state;store;purchase_id;purchase_date;product_category;product_name;brand;size;color;quantity;unit_price;total_amount;payment_method;loyalty_member;salesperson
Alfred Walker;Sandrashire;Northeast;VT;Worldwide Golf Shops;TX00012;2/11/2024;Shorts;Bad Birdie Shorts;Bad Birdie;XL;Black;2;72.71;145.42;Cash;No;Chris Haynes
Diane Garcia;Garciashire;South;MD;PGA Tour Superstore;TX00013;27/7/2024;Pants;Ashworth Pants;Ashworth;XXL;Red;1;61.7;61.7;Debit Card;No;Holly Green
Timothy Cooper;West Jasonbury;Northeast;NY;Original Penguin;TX00014;12/12/2023;Dress;Under Armour Dress;Under Armour;XL;Black;3;62.32;186.96;Gift Card;Yes;Jeanne Krueger
Justin Calderon;Port Kathy;Midwest;IL;2nd Swing Golf;TX00015;5/9/2024;Shorts;Nike Shorts;Nike;XL;Red;2;27.44;54.88;PayPal;No;Michael Shields
Lacey Marsh;North Sharonbury;Midwest;MO;PGA Tour Superstore;TX00016;10/12/2024;Skort;Adidas Skort;Adidas;XS;Gray;1;147.26;147.26;Gift Card;Yes;Elizabeth Gill
Brian Thompson;Lake Josephland;Northeast;ME;Peter Millar;TX00017;21/7/2025;Visor;Under Armour Visor;Under Armour;M;Beige;3;77.9;233.7;Debit Card;Yes;Henry Petty
Timothy Smith;Port Kimberly;West;NM;Roger Dunn Golf Shops;TX00018;15/2/2024;Cap;Peter Millar Cap;Peter Millar;L;Beige;3;40.14;120.42;Debit Card;Yes;Brittany Murray
Alicia Obrien;Veronicamouth;South;TX;PGA Tour Superstore;TX00019;11/2/2024;Skort;Puma Skort;Puma;XS;Black;3;103.9;311.7;Debit Card;Yes;Courtney Bailey
Colleen Perry;Watsonfort;Northeast;PA;2nd Swing Golf;TX00020;28/2/2025;Pants;Puma Pants;Puma;M;Gray;1;92.41;92.41;Gift Card;No;Arthur Miller
Sabrina Wolf;Watsonchester;Midwest;MO;Ashworth;TX00021;3/6/2024;Visor;Bad Birdie Visor;Bad Birdie;S;Black;1;107.38;107.38;PayPal;No;Rebecca Krause
Randy Williams;North Diane;South;VA;Golf Discount;TX00022;15/11/2023;Polo;Adidas Polo;Adidas;XS;Pink;3;67.42;202.26;Credit Card;Yes;Megan Gomez
Adam Carr;Leeton;Midwest;WI;Carl's Golfland;TX00023;17/4/2025;Visor;Under Armour Visor;Under Armour;L;Navy;2;82.84;165.68;Credit Card;No;Matthew Kirk
Michael Rogers;Willieview;South;MD;Golf Galaxy;TX00024;7/7/2024;Polo;Nike Polo;Nike;XS;Blue;1;75.81;75.81;Cash;Yes;Mrs. Teresa Peck
Jacob Williams;West Jesse;South;SC;PGA Tour Superstore;TX00025;16/5/2025;Shorts;Bad Birdie Shorts;Bad Birdie;XS;Pink;2;140.82;281.64;Cash;No;Anthony Hall
Thomas Lee;Vasquezville;South;TN;Original Penguin;TX00026;5/2/2024;Visor;Under Armour Visor;Under Armour;S;Green;1;146.1;146.1;Gift Card;Yes;Michael Moyer
Anna Newton;Lake Laurie;West;MT;2nd Swing Golf;TX00027;30/10/2024;Polo;Nike Polo;Nike;XL;Gray;3;139.93;419.79;Gift Card;Yes;Bradley Perry
David Jordan;South Sarah;Northeast;MA;Golf Apparel Shop;TX00028;7/10/2024;Pants;Under Armour Pants;Under Armour;XS;Black;3;132.74;398.22;Cash;Yes;Michael Watson
Jason Morris;Rosechester;South;DE;Carl's Golfland;TX00029;29/4/2024;Polo;Adidas Polo;Adidas;L;Beige;2;141.85;283.7;Debit Card;No;Jeffrey Thompson
Diana Gilbert;West Kathleenton;Midwest;MO;Roger Dunn Golf Shops;TX00030;8/11/2024;Cap;Under Armour Cap;Under Armour;XXL;Green;3;64.53;193.59;Credit Card;Yes;Steven Rosales
Debbie Vincent;Juliaport;South;AL;Bad Birdie;TX00031;18/3/2025;Pants;Adidas Pants;Adidas;XL;Blue;3;58.16;174.48;PayPal;Yes;Tiffany Frye
Maria Cochran;Simmonsview;Midwest;MO;2nd Swing Golf;TX00032;15/1/2025;Dress;Under Armour Dress;Under Armour;L;Beige;3;62.82;188.46;Gift Card;Yes;Robert Rodgers
Jerry West;Millermouth;West;WA;Golf Apparel Shop;TX00033;26/9/2023;Dress;Adidas Dress;Adidas;S;Green;1;136.22;136.22;Gift Card;Yes;Jonathan Montgomery
John Trevino;Brendaville;Midwest;KS;Roger Dunn Golf Shops;TX00034;22/6/2025;Skort;Peter Millar Skort;Peter Millar;S;Green;3;86.08;258.24;Credit Card;Yes;Katelyn Gonzalez
Stephanie Reed;Port Eric;West;NV;Dick's Sporting Goods;TX00035;21/7/2024;Dress;Nike Dress;Nike;XS;Red;1;104.65;104.65;PayPal;Yes;Mr. Douglas White
Stephanie Sparks;North Brianhaven;West;MT;Golf Discount;TX00036;29/9/2023;Cap;Nike Cap;Nike;XS;Black;4;138.06;552.24;Gift Card;Yes;Cesar Wiggins
Melissa Morse;Christopherborough;South;GA;Bad Birdie;TX00037;10/11/2023;Shorts;Bad Birdie Shorts;Bad Birdie;S;White;2;70.59;141.18;Credit Card;No;Kelly Garza
Gordon Chen;Lake Cynthia;Midwest;MN;Peter Millar;TX00038;5/3/2024;Skort;Adidas Skort;Adidas;M;Beige;2;146.74;293.48;Debit Card;Yes;Molly Ballard
Carol Smith;Sabrinastad;Midwest;OH;Ashworth;TX00039;23/7/2024;Shorts;Bad Birdie Shorts;Bad Birdie;XS;Navy;3;140.57;421.71;Cash;Yes;April Meyers
Kimberly Mathews;Michellechester;Midwest;KS;Worldwide Golf Shops;TX00040;19/10/2023;Pants;Bad Birdie Pants;Bad Birdie;XS;Gray;1;49.96;49.96;Cash;No;Russell Barnes
William Hogan;South Jamesville;Midwest;ND;Ashworth;TX00041;25/10/2024;Skort;Puma Skort;Puma;XS;Blue;2;66.04;132.08;Credit Card;No;Jesse Acosta
Brianna Allen;Jonesborough;South;FL;Peter Millar;TX00042;28/8/2025;Cap;Peter Millar Cap;Peter Millar;XS;Black;3;47.33;141.99;PayPal;Yes;Corey Chen
Joe Newton;Campbelltown;Northeast;NH;Bad Birdie;TX00043;21/1/2024;Cap;Peter Millar Cap;Peter Millar;XXL;Red;3;100.79;302.37;Gift Card;Yes;Jermaine Ramirez
Richard Greer;Theresafort;South;NC;Bad Birdie;TX00044;14/6/2024;Skort;Ashworth Skort;Ashworth;XS;Pink;1;90.06;90.06;Gift Card;Yes;Susan Hartman DDS
Danielle Robinson;East Karen;South;GA;Dick's Sporting Goods;TX00045;3/4/2024;Pants;Peter Millar Pants;Peter Millar;XL;Red;3;131.01;393.03;PayPal;No;Lori Jones
Diane Pope;Kevinport;West;WA;Dick's Sporting Goods;TX00046;15/6/2024;Jacket;Bad Birdie Jacket;Bad Birdie;XXL;Green;3;40.92;122.76;Cash;No;John Wright
Kelli Johnson;Lake Natalie;West;OR;Original Penguin;TX00047;6/8/2024;Shorts;Ashworth Shorts;Ashworth;L;Beige;1;62.99;62.99;Debit Card;No;Angela Ashley
Johnny Wiley;Sharistad;West;AK;Bad Birdie;TX00048;13/12/2024;Jacket;Original Penguin Jacket;Original Penguin;L;Gray;3;51.72;155.16;Cash;Yes;Charles Foster
Anthony Shepherd;New Hannahbury;West;WA;Golf Galaxy;TX00049;30/8/2024;Dress;Peter Millar Dress;Peter Millar;XS;Blue;3;63.81;191.43;Debit Card;Yes;Anthony Huynh
Shelley Shaffer;East Mary;Northeast;NJ;PGA Tour Superstore;TX00050;29/6/2024;Skort;Original Penguin Skort;Original Penguin;XL;Black;2;76.82;153.64;Gift Card;Yes;Jason Mcpherson
Robin Woods;New Austinstad;West;NM;Original Penguin;TX00051;18/8/2025;Cap;Original Penguin Cap;Original Penguin;L;Blue;2;107.02;214.04;Credit Card;Yes;Wayne Hardy
Alfred Wilson;Hughesview;West;HI;Dick's Sporting Goods;TX00052;2/7/2024;Skort;Under Armour Skort;Under Armour;XXL;Beige;2;31.29;62.58;Debit Card;Yes;Joseph Baker
George Duarte;South Kennethton;South;AL;Worldwide Golf Shops;TX00053;6/8/2025;Visor;Peter Millar Visor;Peter Millar;L;Beige;2;128.83;257.66;Gift Card;No;Cory Murphy
Eric Thompson;Hilltown;Midwest;OH;Original Penguin;TX00054;4/11/2024;Visor;Original Penguin Visor;Original Penguin;M;Blue;3;59.67;179.01;Gift Card;No;Bryan Lee
Emily Sutton;South Jeffrey;West;NV;Carl's Golfland;TX00055;19/6/2025;Dress;Original Penguin Dress;Original Penguin;XS;Green;1;58.97;58.97;PayPal;Yes;Matthew Jones DDS
Stephanie Griffin;North Sarah;Northeast;ME;Worldwide Golf Shops;TX00056;17/4/2024;Skort;Bad Birdie Skort;Bad Birdie;XXL;Navy;3;51.75;155.25;Cash;No;Susan George
Lauren Wolf;Lake Haley;South;TX;Golf Apparel Shop;TX00057;15/12/2024;Visor;Bad Birdie Visor;Bad Birdie;XS;Blue;2;73.69;147.38;Gift Card;Yes;Crystal Doyle
John Petersen;Schaeferland;West;WY;Bad Birdie;TX00058;30/5/2024;Cap;Original Penguin Cap;Original Penguin;XS;Red;3;119.19;357.57;Cash;Yes;Charlene Allison
Michaela Cisneros;Kristenside;South;LA;Carl's Golfland;TX00059;16/9/2025;Dress;Bad Birdie Dress;Bad Birdie;L;White;2;67.03;134.06;Cash;Yes;Tiffany Zamora MD
Patricia Richardson;Walkermouth;South;AL;Worldwide Golf Shops;TX00060;15/1/2025;Polo;Bad Birdie Polo;Bad Birdie;XL;White;1;105.35;105.35;Debit Card;No;Elizabeth Massey
Mrs. Laura Davis;Castanedaville;Midwest;MI;PGA Tour Superstore;TX00061;5/1/2025;Dress;Bad Birdie Dress;Bad Birdie;M;Blue;2;65.87;131.74;Cash;No;Timothy Davis
David Smith MD;Andersonmouth;West;WY;Dick's Sporting Goods;TX00062;24/12/2023;Dress;Adidas Dress;Adidas;L;White;3;92.44;277.32;PayPal;Yes;Rachel Johnson
Aaron Gibson;New Ashleyton;West;CO;Golf Galaxy;TX00063;9/5/2024;Polo;Nike Polo;Nike;S;Blue;1;102.68;102.68;Debit Card;Yes;Ricky Rodriguez
Corey Anderson;Abigailberg;South;MS;Peter Millar;TX00064;11/6/2025;Pants;Puma Pants;Puma;L;Green;2;45.98;91.96;Gift Card;Yes;Stephanie Rocha
Micheal Nguyen;Alanport;West;HI;Worldwide Golf Shops;TX00065;24/7/2025;Dress;Adidas Dress;Adidas;XL;White;2;96.98;193.96;Cash;No;Jacqueline Cook
Melissa Thompson;Justinside;West;NM;Carl's Golfland;TX00066;12/9/2024;Pants;Puma Pants;Puma;XS;Green;3;100.06;300.18;Credit Card;Yes;Catherine Avila
Philip Brooks;North Johnbury;South;FL;Golf Apparel Shop;TX00067;16/11/2024;Cap;Peter Millar Cap;Peter Millar;XS;Beige;4;67.66;270.64;Cash;No;Megan Coleman
Richard Barry;New Aprilshire;Northeast;NH;Dick's Sporting Goods;TX00068;5/12/2023;Jacket;Original Penguin Jacket;Original Penguin;XXL;Navy;2;47.03;94.06;Gift Card;No;Casey Gray
Sara Green;Noahside;West;AZ;Ashworth;TX00069;13/4/2025;Visor;Original Penguin Visor;Original Penguin;L;Green;2;131.47;262.94;Credit Card;No;Gregory Blackwell
Susan Hodge;Woodardland;South;KY;Carl's Golfland;TX00070;9/8/2024;Visor;Bad Birdie Visor;Bad Birdie;M;White;2;131.38;262.76;Debit Card;No;Tammy Walters
Brett Williams;New Kathryn;Midwest;MN;2nd Swing Golf;TX00071;2/6/2024;Dress;Peter Millar Dress;Peter Millar;M;Green;3;26.28;78.84;Debit Card;Yes;Timothy Castro
Sheila Flowers;Amandafort;Midwest;MO;Original Penguin;TX00072;16/9/2025;Cap;Original Penguin Cap;Original Penguin;XL;Blue;4;84.52;338.08;Cash;No;Melissa Greer
Michelle Hensley;West Luisberg;West;AK;PGA Tour Superstore;TX00073;12/5/2024;Pants;Ashworth Pants;Ashworth;S;Pink;3;55.42;166.26;Gift Card;No;Stephanie Smith
Kayla Clark;East Shannonport;South;MS;Golf Apparel Shop;TX00074;4/4/2025;Jacket;Bad Birdie Jacket;Bad Birdie;XXL;Beige;2;68.99;137.98;Cash;No;Douglas Martin
Mary Chavez;Lake Theresafurt;Midwest;ND;Roger Dunn Golf Shops;TX00075;8/11/2023;Skort;Adidas Skort;Adidas;XXL;Blue;2;39.95;79.9;Gift Card;Yes;Barbara Spears
Stephen Hendrix;Pageville;Midwest;WI;Carl's Golfland;TX00076;5/3/2024;Visor;Ashworth Visor;Ashworth;XXL;Beige;3;60.38;181.14;Credit Card;Yes;Michael Macias
Jason Pham;Wandaside;Midwest;NE;Carl's Golfland;TX00077;2/5/2024;Jacket;Under Armour Jacket;Under Armour;M;White;3;91.78;275.34;PayPal;Yes;Marie Fowler
Michael Solis;Patrickport;Northeast;MA;Golf Apparel Shop;TX00078;16/2/2025;Dress;Under Armour Dress;Under Armour;XXL;Gray;1;134.1;134.1;Gift Card;No;Rebecca Lowery
Cody Cooper;New Jenniferfort;South;MS;Golf Discount;TX00079;8/6/2024;Visor;Peter Millar Visor;Peter Millar;S;White;2;142.64;285.28;Cash;Yes;Amber Wallace
Catherine Jenkins;Port Rachel;Northeast;CT;Dick's Sporting Goods;TX00080;29/11/2024;Visor;Adidas Visor;Adidas;XL;White;1;43.66;43.66;Gift Card;No;Stacy Cooper
Laura Powell;Kimberlyhaven;Northeast;RI;Carl's Golfland;TX00081;24/3/2024;Pants;Bad Birdie Pants;Bad Birdie;XL;Blue;3;72.56;217.68;Cash;No;Terry Winters
Jeffrey Lawrence;Jacobside;South;DC;Dick's Sporting Goods;TX00082;30/9/2024;Dress;Nike Dress;Nike;XL;Black;1;103.2;103.2;PayPal;Yes;Robin Smith
Anna Luna;Halestad;Midwest;OH;Carl's Golfland;TX00083;5/4/2025;Shorts;Adidas Shorts;Adidas;S;White;2;81.32;162.64;Gift Card;No;Justin Henderson
Jill Sanchez;Bateston;Midwest;NE;PGA Tour Superstore;TX00084;23/8/2024;Skort;Ashworth Skort;Ashworth;XXL;Green;3;132.46;397.38;Credit Card;Yes;Pamela Page
Abigail Williams;Dickersonmouth;Midwest;IN;Ashworth;TX00085;26/7/2024;Skort;Bad Birdie Skort;Bad Birdie;XS;Beige;1;105.96;105.96;PayPal;Yes;Zachary Hampton
Jordan Bishop;Nancyfurt;Northeast;CT;PGA Tour Superstore;TX00086;16/5/2024;Shorts;Ashworth Shorts;Ashworth;XL;Green;2;40.55;81.1;PayPal;No;Nicholas Landry
Ryan Rosales;West Jeffrey;Midwest;KS;Golf Apparel Shop;TX00087;28/5/2024;Visor;Original Penguin Visor;Original Penguin;XS;White;2;116.83;233.66;Gift Card;No;Stephanie Howell
James Garcia;Lake Johnview;Northeast;NJ;Golf Galaxy;TX00088;20/3/2024;Skort;Nike Skort;Nike;XXL;Green;3;30.04;90.12;Debit Card;No;Mark Martinez
Kevin Stewart;Madisonfurt;South;OK;Peter Millar;TX00089;20/12/2024;Visor;Ashworth Visor;Ashworth;S;Pink;3;126.79;380.37;Credit Card;No;John Watkins
Laura Black;East Edwardville;South;FL;Dick's Sporting Goods;TX00090;8/9/2024;Jacket;Peter Millar Jacket;Peter Millar;XXL;Black;1;66.24;66.24;Cash;No;Melody Marks
Carrie Harris;Port Michaelberg;West;WA;Dick's Sporting Goods;TX00091;21/7/2024;Polo;Original Penguin Polo;Original Penguin;XS;Red;2;65.42;130.84;Cash;Yes;Catherine Sanchez
Stephen Gilbert;Port Amberton;West;WA;Golf Apparel Shop;TX00092;13/7/2025;Visor;Bad Birdie Visor;Bad Birdie;XS;Blue;3;70.23;210.69;Cash;No;Mary Lane
Jacqueline Gray;Port Christopherport;West;WY;PGA Tour Superstore;TX00093;30/5/2025;Skort;Ashworth Skort;Ashworth;XL;Navy;2;79.77;159.54;Cash;Yes;Michael Martin
Susan Strong;Derrickburgh;Northeast;NJ;Peter Millar;TX00094;19/1/2025;Skort;Under Armour Skort;Under Armour;M;Beige;1;94.04;94.04;Credit Card;Yes;Andre Farrell
Joseph Smith;Perezborough;Northeast;VT;Golf Discount;TX00095;22/12/2024;Pants;Under Armour Pants;Under Armour;L;Green;3;113.19;339.57;Cash;No;David Krueger
Manuel Donaldson;South Stephen;South;MS;Carl's Golfland;TX00096;24/4/2025;Visor;Under Armour Visor;Under Armour;L;Blue;3;88.54;265.62;Debit Card;Yes;Amy Moss
Jeff Carroll;South Emilymouth;Midwest;KS;Ashworth;TX00097;21/3/2024;Cap;Peter Millar Cap;Peter Millar;XL;Green;2;60.36;120.72;PayPal;No;Cody Cunningham
Melissa Morgan;Raymondside;Midwest;IL;Golf Discount;TX00098;26/11/2023;Visor;Peter Millar Visor;Peter Millar;M;Beige;3;72.16;216.48;PayPal;Yes;Sarah Marquez
Brian Martinez;Simshaven;West;UT;Carl's Golfland;TX00099;22/1/2024;Cap;Puma Cap;Puma;L;White;3;118.1;354.3;Cash;No;Jeffrey Barr
Charles Lee;Samanthafurt;West;WA;Ashworth;TX00100;16/5/2024;Shorts;Original Penguin Shorts;Original Penguin;XS;Navy;3;145.68;437.04;PayPal;Yes;Christopher Howell
Michael Lee;Dawntown;South;KY;Golf Galaxy;TX00101;26/12/2023;Visor;Nike Visor;Nike;XXL;Navy;2;133.88;267.76;Debit Card;Yes;Stephen Blankenship
Tara Baird;Hughesberg;South;MS;Ashworth;TX00102;9/6/2024;Dress;Peter Millar Dress;Peter Millar;XL;Pink;3;35.05;105.15;PayPal;No;Rebekah Grant
Mike Weaver;Gallegosberg;Midwest;SD;Peter Millar;TX00103;1/8/2024;Visor;Nike Visor;Nike;XL;Black;1;103.91;103.91;PayPal;Yes;Monique Garcia
Amanda Price;New Kimberly;West;MT;Golf Galaxy;TX00104;27/4/2025;Cap;Adidas Cap;Adidas;XXL;Black;3;45.81;137.43;PayPal;Yes;Michelle Church
Julian Rogers;Lake Joseview;Northeast;PA;2nd Swing Golf;TX00105;22/1/2024;Polo;Ashworth Polo;Ashworth;M;Red;2;43.21;86.42;Gift Card;No;Michele Hanna
Jonathan Mccullough;Jordanhaven;South;DE;Peter Millar;TX00106;7/2/2024;Shorts;Under Armour Shorts;Under Armour;S;Black;3;133.86;401.58;Gift Card;Yes;Regina Wilkerson
Sarah Holmes;Johntown;South;LA;Bad Birdie;TX00107;9/4/2025;Shorts;Puma Shorts;Puma;L;Green;2;56.93;113.86;Credit Card;No;Daniel Hansen
Richard Wells;Melindachester;Midwest;NE;Peter Millar;TX00108;21/10/2023;Shorts;Adidas Shorts;Adidas;L;Red;3;62.4;187.2;Cash;No;Carlos Nunez
Victor Weaver Jr.;Barrontown;South;AL;Roger Dunn Golf Shops;TX00109;10/7/2024;Skort;Bad Birdie Skort;Bad Birdie;L;Black;1;72.68;72.68;PayPal;No;Kimberly Green
Karen Blevins;East Michelleburgh;West;UT;Roger Dunn Golf Shops;TX00110;23/5/2024;Polo;Bad Birdie Polo;Bad Birdie;M;White;3;133.14;399.42;Credit Card;No;John Zimmerman
Nicole Hopkins;Savannahside;Midwest;NE;Ashworth;TX00111;27/12/2024;Skort;Peter Millar Skort;Peter Millar;S;Blue;3;56.34;169.02;Debit Card;Yes;Mary Walker MD
Luis Sims;Lake Karen;West;NV;Peter Millar;TX00112;17/11/2023;Polo;Ashworth Polo;Ashworth;L;White;3;70.62;211.86;Debit Card;Yes;Andrew Spears
Jeffery Campos;Hoodchester;Midwest;NE;2nd Swing Golf;TX00113;7/8/2024;Cap;Under Armour Cap;Under Armour;S;Navy;4;134.57;538.28;PayPal;No;Leah Lucas
Kim Orr;East Kimberly;Midwest;OH;Roger Dunn Golf Shops;TX00114;29/1/2025;Visor;Ashworth Visor;Ashworth;XXL;Red;1;83.55;83.55;Credit Card;Yes;Matthew Cook MD
Shannon Tanner;South James;West;WY;Carl's Golfland;TX00115;5/2/2024;Cap;Peter Millar Cap;Peter Millar;XS;Pink;2;58.07;116.14;Credit Card;No;Keith Hansen
Aaron Griffith;Heatherstad;South;GA;Peter Millar;TX00116;14/4/2025;Dress;Bad Birdie Dress;Bad Birdie;XXL;Red;1;109.36;109.36;Cash;Yes;Christopher Burch
Mark Mcdaniel;New Madeline;West;AZ;Golf Apparel Shop;TX00117;28/7/2024;Jacket;Puma Jacket;Puma;XXL;Black;3;127.99;383.97;PayPal;No;Samuel Lane
Michael Garrett;New Wendy;Northeast;VT;Worldwide Golf Shops;TX00118;5/8/2024;Polo;Nike Polo;Nike;M;Gray;1;37.16;37.16;Gift Card;Yes;Kevin Williams
James Wilson;West Christina;South;NC;Golf Discount;TX00119;13/7/2025;Jacket;Bad Birdie Jacket;Bad Birdie;XL;Navy;2;106.88;213.76;Cash;No;Kimberly Rogers
James Small;Lake Melody;Midwest;KS;PGA Tour Superstore;TX00120;19/12/2023;Jacket;Puma Jacket;Puma;L;Gray;1;131.94;131.94;Credit Card;No;Keith Daniel
Christopher Mendez;New Ryanside;South;WV;Peter Millar;TX00121;18/5/2024;Jacket;Nike Jacket;Nike;L;Green;1;146.04;146.04;Cash;Yes;Andre Ball
Michael Salas DDS;Jeffreyhaven;West;WA;Carl's Golfland;TX00122;20/12/2024;Polo;Nike Polo;Nike;M;Blue;1;123.38;123.38;Debit Card;Yes;Shawn Morrison
Shawn Howard;North Jeromefurt;West;WY;Golf Apparel Shop;TX00123;22/5/2024;Skort;Puma Skort;Puma;S;Red;1;123.59;123.59;Gift Card;Yes;Raven Richards
Mr. Steven Reynolds;Dominguezville;Midwest;KS;Worldwide Golf Shops;TX00124;19/2/2024;Shorts;Ashworth Shorts;Ashworth;S;Black;3;133.32;399.96;Debit Card;Yes;Andrew Chapman
John Johnson;Ashleyfurt;South;FL;Ashworth;TX00125;6/5/2024;Skort;Peter Millar Skort;Peter Millar;XS;Navy;2;31.56;63.12;Cash;Yes;Heather Hill
Kimberly Wright;Cookberg;West;MT;Golf Galaxy;TX00126;13/4/2024;Visor;Original Penguin Visor;Original Penguin;M;Beige;3;38.64;115.92;Gift Card;Yes;Sophia Cisneros
Tiffany Harvey DVM;Lake Heatherside;West;AZ;PGA Tour Superstore;TX00127;23/6/2025;Dress;Original Penguin Dress;Original Penguin;XXL;White;1;149.83;149.83;Cash;No;Megan Rodriguez
Mr. Joshua Ramirez DVM;Lake Madison;West;OR;Golf Galaxy;TX00128;3/9/2024;Visor;Original Penguin Visor;Original Penguin;XS;Black;2;101.05;202.1;Credit Card;Yes;Kara Mills
Lonnie Donovan;Briggsbury;Midwest;KS;Bad Birdie;TX00129;29/3/2025;Jacket;Bad Birdie Jacket;Bad Birdie;XL;Beige;2;81.72;163.44;Gift Card;No;Meghan Wheeler
John Robertson;West Danielburgh;Northeast;NH;Ashworth;TX00130;11/10/2024;Pants;Puma Pants;Puma;L;Gray;1;76.74;76.74;Cash;No;Amy Jones
Mary Williams;Lake Mark;South;VA;Original Penguin;TX00131;7/3/2025;Pants;Peter Millar Pants;Peter Millar;L;Red;3;56.87;170.61;Debit Card;No;Stephanie Ruiz
Michelle Herrera;North Jessica;Northeast;CT;Golf Galaxy;TX00132;12/7/2024;Pants;Adidas Pants;Adidas;L;Black;3;117.36;352.08;Debit Card;Yes;Robert Page
Garrett Thomas;Port Alyssa;South;DC;Golf Apparel Shop;TX00133;27/7/2024;Jacket;Adidas Jacket;Adidas;L;Red;3;142.65;427.95;Cash;Yes;Kristin Harris
Amanda Weaver;North Christine;Midwest;NE;Bad Birdie;TX00134;30/10/2024;Dress;Peter Millar Dress;Peter Millar;XS;Beige;1;44.35;44.35;Cash;Yes;Patricia Stone
Samuel Mathis;Mitchellchester;Northeast;NH;2nd Swing Golf;TX00135;11/7/2025;Jacket;Adidas Jacket;Adidas;M;Blue;2;130.65;261.3;Gift Card;Yes;Dale Garcia
Cynthia White;Steeleside;West;CA;Peter Millar;TX00136;4/4/2024;Dress;Nike Dress;Nike;S;Green;3;120.31;360.93;PayPal;No;Julia Bryan
Christina Le;Lake Rebeccashire;Northeast;NY;Worldwide Golf Shops;TX00137;20/8/2024;Shorts;Bad Birdie Shorts;Bad Birdie;XS;Navy;3;104.16;312.48;Credit Card;Yes;James Cunningham
Gina Todd;Port Kevin;West;MT;Golf Apparel Shop;TX00138;22/10/2024;Skort;Bad Birdie Skort;Bad Birdie;L;Gray;2;44.69;89.38;PayPal;No;Kristina Richards
Michelle Booker;Popeside;West;HI;Bad Birdie;TX00139;7/2/2024;Pants;Nike Pants;Nike;S;Navy;3;31.23;93.69;Credit Card;No;Jason Schmidt
Cody Garrett;Port Julia;South;KY;Peter Millar;TX00140;1/5/2024;Cap;Original Penguin Cap;Original Penguin;XL;Gray;3;59.16;177.48;Gift Card;Yes;Patricia Cunningham
Jeff Potter;Grimesville;South;FL;Dick's Sporting Goods;TX00141;27/3/2024;Pants;Ashworth Pants;Ashworth;XXL;Gray;3;108.4;325.2;Credit Card;Yes;Pamela Finley
George Roberts;Fletcherton;South;SC;Bad Birdie;TX00142;17/10/2024;Polo;Nike Polo;Nike;S;Green;1;120.93;120.93;PayPal;No;Charles Simpson
Tom Baker;Zacharyland;Midwest;SD;Golf Galaxy;TX00143;18/7/2024;Polo;Original Penguin Polo;Original Penguin;XXL;Pink;1;41.16;41.16;Gift Card;Yes;Kevin Mcconnell
Gary Phillips;Port Adamfort;South;AR;Golf Apparel Shop;TX00144;1/5/2024;Jacket;Adidas Jacket;Adidas;L;White;2;27.35;54.7;Credit Card;No;James Meyers
Sarah Miller;Daltonberg;South;DE;Dick's Sporting Goods;TX00145;1/8/2024;Cap;Bad Birdie Cap;Bad Birdie;M;Black;3;27.62;82.86;PayPal;Yes;Laura Tucker
